Stationsnummer: 2143
Stationsname: Rekingen
DBLH-Nr: 00621
Gewässer: Rhein
Exportperiode: 1976-01-01 - 2026-08-12
Parameter: Sauerstoff-Sättigung
Parametereinheit: %
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-04-30 00:00:00;;106.011;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-01 00:00:00;;107.595;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-02 00:00:00;;108.668;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-03 00:00:00;;108.963;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-04 00:00:00;;108.814;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-05 00:00:00;;Lücke;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-06 00:00:00;;110.698;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-07 00:00:00;;117.600;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-08 00:00:00;;124.009;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-09 00:00:00;;122.434;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-10 00:00:00;;118.775;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-11 00:00:00;;112.438;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-12 00:00:00;;112.519;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-13 00:00:00;;107.946;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-14 00:00:00;;111.395;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-15 00:00:00;;114.643;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-16 00:00:00;;113.538;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-17 00:00:00;;115.220;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-18 00:00:00;;113.253;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-19 00:00:00;;111.611;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-20 00:00:00;;105.630;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-21 00:00:00;;105.405;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-22 00:00:00;;105.145;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-23 00:00:00;;106.675;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-24 00:00:00;;107.450;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-25 00:00:00;;105.299;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-26 00:00:00;;103.359;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-27 00:00:00;;103.239;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-28 00:00:00;;104.065;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-29 00:00:00;;103.604;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-30 00:00:00;;101.971;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-05-31 00:00:00;;99.998;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-01 00:00:00;;97.493;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-02 00:00:00;;103.601;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-03 00:00:00;;100.057;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-04 00:00:00;;101.641;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-05 00:00:00;;102.375;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-06 00:00:00;;103.418;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-07 00:00:00;;103.835;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-08 00:00:00;;104.122;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-09 00:00:00;;104.842;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-10 00:00:00;;104.148;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-11 00:00:00;;102.208;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-12 00:00:00;;103.154;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-13 00:00:00;;103.002;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-14 00:00:00;;103.339;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-15 00:00:00;;103.251;Nicht freigegeben, Rohdaten
Rekingen;2143;Sauerstoff-Sättigung;Tagesmittel;%;Rhein;1976-06-16 00:00:00;;96.913;Nicht freigegeben, Rohdaten
